6	11	22	32	52	68	84	107	134	170	204
3	13	18	25	33	41
3	9	15	16	17	17	19	23
5	15	28	41	50	62	75	85
2	7	14	21	31	40	55	62	68	74	74
1	1	4	5	7	13	17	22	24	26	30	35	39
1	1	3	4	4	6	12
1	1	3	6	13	17	21	26	35	39	45	50	56	62	64	67	77	85	93	105	119	135	145	163	179	189	197	202	212	219	227	232	245	260	274	284
2	8	8	8	8	9	10	10	10	11	11	11	12	13
2	8	9	11	13	18	19	24	29	30	32	34	34	34	35	38	38	41	42	44
2	9	13	15	19	23	26	28	30	37	42
1	1	2	5	7	8	8	10	11	14	22
9	20	47	85	129	180	249	339	451	580
2	2	5	11	19	29
1	3	8	11
1	3	3	4	6
1	4	5	8	10	16	20
7	15	33	46	60	76	82	93	101
4	12	25	43	62	75	91	105	118	138	149
2	2	4	7	19	27	31	39	49	56	62
1	4	5	7	9	9	9	9
1	1	2	5	6	6	7	8
1	2	2	2	2
1	3	5	8	9	12	13	16
1	2	3	4	4	7	8
4	8	12	17	17	19	20	21	22	22	22
1	1	2	4	10	10	12	15	15	16
1	1	1	1	1	1	1	2	2	2	2	2	8	18	39	63	94
4	6	13	22	24
3	5	7	11	18	24	26	29	34	39
2	7	14	20	27	38	45	50	56	60	70	76	80	84	87	91
1	3	3	3	5	5	7	7	9	10	12	12	19	19
2	4	8	13	23	26	30	31	32	35	41	44
2	4	5	8	11	13	14	17	24	26	28	30	32	40	48	50
2	4	8	9	14	16	18	20	26	31	33	38
1	1	1	1	1
1	4	4	5	7	8	10	12
4	6	8	10	16
1	4	6	6	9	12	14	18	24	26	30	35	46	49	55	61	65	69	73
3	6	11	15	18	19	25	29
1	3	11	17	19	19	19	20
3	6	7	7	8
2	4	6	8	9	10	18	20	33	46	62	72	83	103	116	129	148	165	178	195	218
4	17	37	67	93	127	160	193	227	271	313	366	418	470	530
1	2	3	4	4	4	4	4
1	1	8	14	17	22	27	37	49	53
1	11	23	39	56	75	94	115	129	148	164	179	200	220	242	263	273	287	295	305	312	321	328
2	5	12	15	26	32	44	55	58	72
1	2	9	16	21	24	27	29
4	4	5	7	9	13	13	17	17	17	20	22
1	3	27	57	99	143	185	256	327	394	477
2	5	7	9	9	9	9	9	11	13	13	15	16
2	4	7	8
1	1	3	4	6	8	9	11	12	14
3	4	6	7	9	9	12	14	16	17	19	19
5	5	6	9	15	17	20
2	3	4	5	5	7	7	8
4	6	10	10	11
1	3	16	36	64	85	132	174	206	237	269	304	344	387
3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	4	4	6
3	7	13	17	23	36	45	49	56
1	6	16	25	36	50	70	89	112	131	161	195
3	11	15	24	37	45	52	59	68	81	96	109	121
5	7	7	8	11	13	15	16	17	19	19	19
1	1	2	2	3	3	3	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
1	2	3	4	7	7
3	4	5	6	6	6
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	2	4	9	14
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	2	2	2
1	1	1	1	1	1	1	1	2	2
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	2	2
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	2	3	5
1	1	1	1	1	1	1	1	1	1
2	2	2	2	2	2	3	3	4	4	6	6	6	6	6	6	7	9	9	9
3	3	3	3	4	5	8	8	8	8	9	11	14	16	16	17	19	20	20	23
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	2	2	6	7	9	10	11	11	14	18	24	26
1	1	1	1	1	1	1	1	4	4
1	1	1	1	1	1	1	1	2	3
1	1	1	1	1	1	1	3	3	3
1	1	1	1	1	1	1	1	1	2
1	1	1	1	1	1	2	2	2	2
1	1	1	1	2	3	3	3	3	3	3	3	3	3
1	1	1	1	1	1	1	1	1	1
1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	3	3	5	5	5	5	5	5	5	5	5	5
1	1	1
1	3	3
2	2
4	6	6	8	8
2	2	2	2	2	2	2	2	3	4
1
1	1	2	2	3
1	1	1	1	1	3	4	5	5	5	5	5	5
1	4	5	8	8	10	10	10	10	11	12	13	15
1	2	3	4	5	6	6	6	6
1	1	1
1	2	2	2	3	4	4
1	2	2	2	2	2	2	2	2	2	2	2
1	2
2	3
1	2	4	5	5	6	10	11	12	13	14	17	23	27
1	1	2	4
3	4
1	3	4	4	6	12	22	30
1	1	1	1
1	1
1
1	1	2
1	4	11	16
1	2	2	3	4
2	2
1	1
1	1	1	1
2	4	5
1	3	3
1	2
1	1	3	4	6	7	8	10
1	1	3	5	9	13
1	1	1
1	2	3	6
1	2	7	10
8	10
2	2	3
1	1	2	2	2	2	2
2	4
1	1	2	2	4	4
1	1
5	9
1	3	5	7	10	12	13	15	17
2	2
1	2	2	2	2	2	2	2	2	2
1	3	5	7	8	9	10	12	13	13	13	13	15	15
1	3	5	10
1	2	2	2	2	2	4	6
1	1	5	6	7	10	11	11	11	11	13	13
1	1	2	2	3	3	3	3	3	6	7
1	1	1	1	2	2	2	2	2	2	3	3	4	4
1	1	2	3	3	5	6	7	7	7	8	8
1	3	4
5	6	7	9	11	11	11	11	16	17
1	3	4	5	6	8	12	22	25
3	3	3	3	4	4	4	4	4	4
1	1	3	4
4	14	25	35
1	1	1	1	1	1	1	1	2	2
1	3
1	1	2	2	2	2	2	2	2	2	2	3	3	4	4	4	4
1	1	2	3	3	4	4	4	5	6	6	8	9	17	21
1	1	1	1	1	2	4	6
1	1	2	3	3	3
1
1	3	3	4	4	9	15	22	27
1	2	3	4	6	6
2	7	16	22	34	39	51	59	64	69	80	87	98	105
1	1	1
2	2	8	9	10	10	13	14
1
1	1	1
4	5	8
